quarter,category,revenue_usd,units_sold
2025Q1,Smart Home,48200,1210
2025Q1,Coffee Gear,61500,2380
2025Q1,Fitness,54800,1620
2025Q1,Pet Supplies,32900,2140
2025Q1,Kitchenware,72400,3310
2025Q1,Outdoor,41600,980
2025Q2,Smart Home,63700,1580
2025Q2,Coffee Gear,64200,2460
2025Q2,Fitness,55900,1650
2025Q2,Pet Supplies,38400,2490
2025Q2,Kitchenware,71100,3240
2025Q2,Outdoor,58200,1370
2025Q3,Smart Home,84900,2090
2025Q3,Coffee Gear,67800,2590
2025Q3,Fitness,53200,1570
2025Q3,Pet Supplies,45100,2920
2025Q3,Kitchenware,69300,3150
2025Q3,Outdoor,66400,1560
2025Q4,Smart Home,112600,2760
2025Q4,Coffee Gear,73900,2820
2025Q4,Fitness,57400,1690
2025Q4,Pet Supplies,52800,3410
2025Q4,Kitchenware,68200,3090
2025Q4,Outdoor,49700,1170
2026Q1,Smart Home,137800,3370
2026Q1,Coffee Gear,78400,2990
2026Q1,Fitness,56100,1660
2026Q1,Pet Supplies,60300,3890
2026Q1,Kitchenware,66500,3010
2026Q1,Outdoor,44900,1060
